Paper_ID,Author_ID,Author_Name,Author_Position,Is_Corresponding,Institution_IDs,Institution_Names
W1777686370,A5113485459,Ignacio Hernando,middle,False,I185763367,Bank of Spain
W1777686370,A5001696215,Claudia Kwapil,middle,False,I1341874111,National Bank of Austria
W1777686370,A5030999611,Bettina Landau,middle,False,I153515283,European Central Bank
W1777686370,A5091446973,Claire Loupias,middle,False,I201298700,Banque de France
W1777686370,A5102882868,Fernando Martins,middle,False,I4210105462|I141596103|I50310733|I4401200244,Lusíada University of Lisbon|University of Lisbon|Banco de Portugal|Fundação Minerva - Cultura - Ensino e Investigação Científica
W1777686370,A5015887286,Thomas Mathae,middle,False,I201298700,Banque de France
W1777686370,A5005319110,Roberto Sabbatini,middle,False,I103737770,Bank of Italy
W1777686370,A5060014936,Harald Stahl,middle,False,I74623043,Deutsche Bundesbank
W1777686370,A5067308847,Ad Stokman,last,False,I96120398,De Nederlandsche Bank
W2974598553,A5012301204,Daron Acemoğlu,first,True,I1321305853|I170897317|I185261750|I4210110987|I63966007,National Bureau of Economic Research|Duke University|University of Toronto|IIT@MIT|Massachusetts Institute of Technology
W2974598553,A5006356937,Ali Makhdoumi,middle,False,I1321305853|I170897317|I185261750|I4210110987|I63966007,National Bureau of Economic Research|Duke University|University of Toronto|IIT@MIT|Massachusetts Institute of Technology
W2974598553,A5061280107,Azarakhsh Malekian,middle,False,I1321305853|I170897317|I185261750|I4210110987|I63966007,National Bureau of Economic Research|Duke University|University of Toronto|IIT@MIT|Massachusetts Institute of Technology
W2974598553,A5067307504,Asuman Ozdaglar,last,False,I1321305853|I170897317|I185261750|I4210110987|I63966007,National Bureau of Economic Research|Duke University|University of Toronto|IIT@MIT|Massachusetts Institute of Technology
W3124517880,A5109723501,Bartosz Maćkowiak,first,True,I153515283,European Central Bank
W3124517880,A5074819510,Mirko Wiederholt,last,False,None,None
W3123243120,A5101819723,Charles W. Jones,first,True,I1321305853|I97018004,National Bureau of Economic Research|Stanford University
W3123243120,A5044124853,Christopher Tonetti,last,False,I1321305853|I97018004,National Bureau of Economic Research|Stanford University
W2150449738,A5079341574,Silvia Fabiani,first,True,I103737770,Bank of Italy
W2150449738,A5073985881,Angela Gattulli,middle,False,I103737770,Bank of Italy
