Source,Target,Raw_Weight_Original,w_ji_original,Raw_Weight_Penalized,w_ji_penalized
W2790400697,W2743929098,0.12487500000000001,0.17364450676153287,0.12487500000000001,0.17364450676153287
W3002742063,W2289113545,0.0006666666666666666,1.0,0.0006666666666666666,1.0
W2974598553,W3123243120,0.02640625,1.0,0.02640625,1.0
W3089176333,W2293940046,0.12487500000000001,0.28833942659226475,0.12487500000000001,0.28833942659226475
W3089176333,W2612128091,0.03,0.06927073311525879,0.03,0.06927073311525879
W3089176333,W2743929098,0.12487500000000001,0.28833942659226475,0.12487500000000001,0.28833942659226475
W3089176333,W2920282816,0.05333333333333333,0.12314796998268229,0.05333333333333333,0.12314796998268229
W4226382147,W2045522464,0.12487500000000001,1.0,0.12487500000000001,1.0
W2533772775,W2168402580,0.010666666666666666,1.0,0.010666666666666666,1.0
W2996741051,W2010653253,0.12150000000000001,0.5485327313769752,0.12150000000000001,0.5485327313769752
W3186955607,W2018362551,0.00081,1.0,0.00081,1.0
W2473283431,W1841962286,0.07526041666666666,0.3698868581375109,0.07526041666666666,0.7804422634754563
W2473283431,W2180742472,0.003333333333333333,0.01638253212512159,0.003333333333333333,0.034566300942857585
W2473283431,W2289113545,0.12487500000000001,0.6137306097373676,0.017839285714285714,0.18499143558168601
W2790400697,W2168402580,0.05333333333333333,0.07416248537029096,0.05333333333333333,0.07416248537029096
W2790400697,W2289113545,0.088,0.1223681008609801,0.088,0.1223681008609801
W2790400697,W2293940046,0.05333333333333333,0.07416248537029096,0.05333333333333333,0.07416248537029096
W2790400697,W2473283431,0.12487500000000001,0.17364450676153287,0.12487500000000001,0.17364450676153287
W2790400697,W2533772775,0.024975,0.03472890135230657,0.024975,0.03472890135230657
W2790400697,W2734426755,0.12487500000000001,0.17364450676153287,0.12487500000000001,0.17364450676153287
W4226305897,W2533772775,0.0528,0.08507781343574183,0.0528,0.08507781343574183
W3008256197,W2974598553,0.07492499999999999,0.5997598559135482,0.07492499999999999,0.5997598559135482
W2010653253,W2097281067,0.07289999999999999,1.0,0.01458,1.0
W3021125948,W2010653253,0.05333333333333333,0.5161290322580645,0.05333333333333333,0.5161290322580645
W4226305897,W2018362551,0.049999999999999996,0.08056611120808885,0.049999999999999996,0.08056611120808885
W2942073230,W2289113545,0.08000000000000002,0.24786986831913255,0.08000000000000002,0.24786986831913255
