Source,Target,Source_Clean,Target_Clean,is_author_self_cite,is_inst_self_cite,shared_authors_count
https://openalex.org/W2473283431,https://openalex.org/W1841962286,W2473283431,W1841962286,False,False,0
https://openalex.org/W2473283431,https://openalex.org/W2180742472,W2473283431,W2180742472,False,False,0
https://openalex.org/W2473283431,https://openalex.org/W2289113545,W2473283431,W2289113545,True,True,6
https://openalex.org/W2790400697,https://openalex.org/W2168402580,W2790400697,W2168402580,False,False,0
https://openalex.org/W2790400697,https://openalex.org/W2289113545,W2790400697,W2289113545,False,False,0
https://openalex.org/W2790400697,https://openalex.org/W2293940046,W2790400697,W2293940046,False,False,0
https://openalex.org/W2790400697,https://openalex.org/W2473283431,W2790400697,W2473283431,False,False,0
https://openalex.org/W2790400697,https://openalex.org/W2533772775,W2790400697,W2533772775,False,False,0
https://openalex.org/W2790400697,https://openalex.org/W2734426755,W2790400697,W2734426755,False,False,0
https://openalex.org/W4226305897,https://openalex.org/W2533772775,W4226305897,W2533772775,False,False,0
https://openalex.org/W3008256197,https://openalex.org/W2974598553,W3008256197,W2974598553,False,True,0
https://openalex.org/W2010653253,https://openalex.org/W2097281067,W2010653253,W2097281067,True,True,4
https://openalex.org/W3021125948,https://openalex.org/W2010653253,W3021125948,W2010653253,False,False,0
https://openalex.org/W4226305897,https://openalex.org/W2018362551,W4226305897,W2018362551,False,False,0
https://openalex.org/W2942073230,https://openalex.org/W2289113545,W2942073230,W2289113545,False,False,0
https://openalex.org/W2942073230,https://openalex.org/W2293940046,W2942073230,W2293940046,False,False,0
https://openalex.org/W2942073230,https://openalex.org/W2533772775,W2942073230,W2533772775,False,False,0
https://openalex.org/W2942073230,https://openalex.org/W2743929098,W2942073230,W2743929098,False,False,0
https://openalex.org/W2942073230,https://openalex.org/W2765365501,W2942073230,W2765365501,False,False,0
https://openalex.org/W2921968831,https://openalex.org/W2759182208,W2921968831,W2759182208,False,False,0
https://openalex.org/W2921968831,https://openalex.org/W2533772775,W2921968831,W2533772775,False,False,0
